Cell,DoD
G60C1,0.8486202199645804
G60C2,0.8173702572364099
G60C3,0.8506361144158254
G60C4,0.8287183270012988
G61C2,0.5306501212925295
G61C3,0.5508920438506884
G61C4,0.5405692763220113
G62C1,0.6168491276494172
G62C2,0.6413469365965626
G62C3,0.6321351425571087
G62C4,0.6774456260161776
G63C1,0.7976846332779978
G63C2,0.8123802377838312
G63C3,0.8014172114247745
G63C4,0.8112815684276532
G64C1,0.9074508195588975
G64C2,0.9243140324302848
G64C3,0.9142443660408084
G64C4,0.9114086726431126
