Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G35,G35C3,10.851,0.00020508393525069097,-0.03157198779795961,0.2995709539831188,-1.485761466710228,0.2831652777777778
G35,G35C4,9.503,0.00021101144826577868,-0.03219939502159519,0.28903162058413545,-1.5136776969276486,0.2858646111111111
G36,G36C2,12.423,0.00019421200366097395,-0.03235027075578359,0.3105614855965344,-1.5125084931858293,0.2800874166666667
G36,G36C3,12.424,0.000245962322408125,-0.03593729236580562,0.2219992751312416,-1.5632119111114966,0.2834787777777778
G36,G36C4,5.828,0.0004941550001791989,-0.053274799263019396,0.10716875246639523,-1.6325009946868965,0.2833278055555555
G38,G38C1,8.602,0.000328675593422187,-0.042285981894641,0.17416340860728657,-1.60809769523469,0.2800818055555555
G38,G38C2,8.633,0.0001387152106935828,-0.025537203563176514,0.4894099160532781,-1.3228578137987146,0.2859575
G38,G38C3,13.129,7.287168067236607e-05,-0.015164995468407438,0.7470721521505189,-0.8993923327532589,0.2844986111111111
G38,G38C4,12.134,0.0001861942593272087,-0.030107035323066494,0.3083188223759635,-1.484628899549286,0.2837694444444444
G41,G41C1,16.706,0.00019399286724960067,-0.03120811375066168,0.46662514674009925,-1.3223342567502605,0.2837875
G41,G41C2,12.781,0.000253890758150429,-0.03701823751956118,0.3879170816297916,-1.387376000414751,0.282599
G41,G41C3,14.574,0.00022025447244685908,-0.03311026414021778,0.42340130916260027,-1.343273904251653,0.2841319444444444
G41,G41C4,13.267,0.00020667719149862116,-0.032424936475244415,0.460857069807987,-1.3096545913833528,0.2834333333333333
G52,G52C1,16.991,9.641757721195986e-05,-0.018651446125684756,0.736680627406671,-0.9742417826486873,0.2835958333333334
G52,G52C2,13.911,9.53304681556545e-05,-0.018935875444582084,0.744703480797263,-0.9794015300241563,0.2832324722222222
G52,G52C3,14.606,0.00012786414807749633,-0.023712178900825664,0.6147548437117485,-1.1682285595521047,0.2849098611111111
G52,G52C4,17.026,0.00014120614834856298,-0.024729804785242504,0.5514359950040163,-1.2121058507492821,0.2825051666666666
G53,G53C1,3.724,0.000947009436299803,-0.07976444602576876,0.11204584006008099,-1.6137915238303409,0.2839723333333333
G53,G53C2,4.426,0.0006776101829813043,-0.06478459732758021,0.11688858486366001,-1.625538731605947,0.2830166388888889
G53,G53C3,4.047,0.0007878782008322185,-0.0699911178354922,0.09249618491009626,-1.6396848499949856,0.2868083333333333
G53,G53C4,10.685,0.00021924992323503443,-0.03215449278648269,0.35212016184686334,-1.4389922403579347,0.2835958333333334
G55,G55C1,13.114,0.00011320025948062304,-0.022012955428998615,0.7781303253957355,-0.951831198114053,0.2830020555555556
G55,G55C2,12.436,0.0001225008791744516,-0.02310238470403614,0.7325410672983514,-0.995870397527848,0.2803573611111111
G55,G55C3,12.158,0.0001924115646945084,-0.03001325966285953,0.47950766674627265,-1.32337695246324,0.2794865555555555
G55,G55C4,12.205,0.0001233142411066447,-0.023523111498079396,0.7364128858471528,-1.017875784649577,0.2835083333333333
G30,G30C1,10.242,7.904971986497547e-05,-0.018387002651127693,0.6970124150168971,-1.107246733216845,0.281485884444444
G30,G30C2,14.338,8.193893364848806e-05,-0.018174207753182015,0.7596903329303802,-1.0324809480136374,0.28468496
G30,G30C3,18.538,6.28374699344529e-05,-0.01624564294883102,0.8663160950301142,-0.9153341609740377,0.283053457777778
G30,G30C4,10.11,9.969188478057056e-05,-0.01892179767220281,0.6644415490139118,-1.073524361345617,0.281902791111111
G31,G31C1,14.666,9.556103184996848e-05,-0.022004994639062525,0.7563921929300533,-1.0721996721525209,0.283332622222222
G31,G31C2,10.727,7.786692507531555e-05,-0.01884369848550621,0.8826431616597404,-0.8990012084584094,0.285080906666667
G31,G31C3,11.886,9.76939748470867e-05,-0.022326870875047422,0.7705572058142484,-1.0249590404145519,0.282173671111111
G31,G31C4,10.035,7.618657114340424e-05,-0.018520859516600152,0.9162374963188,-0.8620367934139654,0.283873617777778
G45,G45C1,8.58,0.00013975934715741663,-0.027432307947642676,0.6151939010504917,-1.2344629449721207,0.281208071111111
G45,G45C2,7.342,0.000159925715606208,-0.028498378275596814,0.6209358615026672,-1.1955758523009383,0.284418097777778
G45,G45C3,8.175,8.876085300191086e-05,-0.019582712355112497,0.8746678138394763,-0.878972722298585,0.283375413333333
G45,G45C4,9.65,0.00013791027819631368,-0.025221376573731413,0.6391381908763737,-1.1642521939271013,0.284168906666667
G47,G47C1,9.396,0.0002218228683898679,-0.03496931227279548,0.35829837515154284,-1.427639160904304,0.278143075555556
G47,G47C2,15.477,0.0001416911061582179,-0.027295088869460082,0.5715442522058444,-1.2073426660748994,0.283952782222222
G47,G47C3,12.244,0.00010036752971501619,-0.022749980739947107,0.7395738301685507,-1.0394119586803823,0.286001173333333
G47,G47C4,10.114,0.00013254538940683815,-0.025424464177413897,0.6020434415200885,-1.1708466212434938,0.283388284444444
G48,G48C1,9.804,0.0002056472424946734,-0.033884806512143706,0.5385471317136346,-1.2535147265448279,0.283717155555556
G48,G48C2,8.654,0.00012404421086169995,-0.027749660036324925,0.6666974927542894,-1.1637820254663997,0.283483306666667
