Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G5,G5C2,12.827,5.803080269866127e-05,-0.015165052215359298,0.8379219715424475,-0.8133533544144411,0.2842785
G5,G5C3,16.23,5.354854198880134e-05,-0.014735563389346201,0.8092677172521774,-0.8872298682619224,0.2816125
G5,G5C4,8.221,5.214869269805638e-05,-0.015337002127463695,0.7754424275883038,-0.8825648289227326,0.2861761944444444
G6,G6C1,35.698,2.9865864139233378e-05,-0.010009388806605402,0.44066530809049437,-1.1638619562834756,0.2832458333333333
G6,G6C2,44.449,3.174515317136717e-05,-0.00955960575024517,0.4577912283785152,-1.0618277008245203,0.2793483055555555
G6,G6C3,53.541,3.228373877891889e-05,-0.010236175927785918,0.4589401679616272,-1.1108994910048795,0.2834458333333333
G6,G6C4,37.973,6.151647290413858e-05,-0.013668655053809986,0.27371681423488453,-1.344246791586838,0.28379025
G7,G7C1,21.972,0.00011202392749197913,-0.02336266925451791,0.40204713387238117,-1.350186922208249,0.2837346944444445
G7,G7C2,22.681,7.441330079442602e-05,-0.019182376037484405,0.5359244034999961,-1.220368110486337,0.2851361111111111
G7,G7C3,36.55,6.751351125422974e-05,-0.016654273976302314,0.6197873097499756,-1.0891721332050994,0.2825712222222222
G7,G7C4,26.505,0.00011793144004279938,-0.024122843717649056,0.418164280667551,-1.3421526293906973,0.2834267777777777
G8,G8C1,11.937,0.00022885524863560175,-0.033729242695237305,0.3095552680571573,-1.4506194532464278,0.2788597222222222
G8,G8C2,14.772,0.00022240493110769045,-0.032967659158406964,0.341469401170053,-1.4368822512705466,0.2804555555555555
G8,G8C3,22.215,0.0001706512145879649,-0.028160812583343908,0.4537481004099398,-1.3184073826157272,0.2818527777777778
G8,G8C4,20.799,0.0002211729658653483,-0.034006241309235324,0.35084597597219197,-1.4078485825416984,0.2841680555555556
G9,G9C1,6.551,0.000249334924869276,-0.03838936969304588,0.2927810617265787,-1.5203104825428908,0.2802413888888889
G9,G9C2,6.321,0.00023332842230041852,-0.0381254905558783,0.309939442558536,-1.494494613649059,0.2851213611111111
G9,G9C4,5.192,0.0003372636578908517,-0.0473417986346146,0.31959963819459586,-1.4876470396427701,0.2850582777777778
G10,G10C1,15.046,0.00024002842723615543,-0.03762392571921108,0.2426540421154073,-1.5059248471640414,0.2827415
G10,G10C2,20.141,0.0001737027257644581,-0.03242705929467882,0.351490630142903,-1.3831062974515573,0.2849666666666666
G10,G10C3,14.177,0.0001349906110978802,-0.029215866536172808,0.47802791065218103,-1.2916543609984006,0.2847826111111111
